,region_id.special_id,bcd,cad,gt,hb,expression
0,VT55793.dkik,0,0,0,0,1
1,VT55793.MEMB002A,1,0,0,0,1
2,VT55793.MEMB002C,0,0,0,0,1
3,VT55793.MEMB002D,0,0,0,0,1
4,VT55793.MEMB003B,0,1,0,0,1
5,VT55793.MEMB003D,0,0,0,0,1
6,VT55793.MEMB003F,1,0,0,0,1
7,VT55793.MEMB004E,2,0,0,0,1
8,VT55793.MEMB006A,0,0,0,0,1
9,VT55793.MEMB006B,0,0,0,0,1
10,VT55793.MEMB006C,0,0,0,0,1
11,VT55793.MEMB007C,0,0,0,0,1
12,VT55793.MEMB002B,1,0,0,0,1
13,VT55793.MEMB002E,1,0,0,0,1
14,VT55793.MEMB002F,1,0,0,0,1
15,VT55793.MEMB003A,0,0,0,0,1
16,VT55793.MEMB003C,2,0,0,0,1
17,VT55793.MEMB004A,1,0,0,1,1
18,VT55793.MEMB004B,0,0,0,0,1
19,VT55793.MEMB005B,0,0,0,1,1
20,VT55793.MEMB005D,1,0,0,0,1
21,VT55793.MEMB007B,0,0,0,0,1
22,VT55793.MEMB007D,1,0,0,0,1
23,VT55793.MEMB008C,0,0,0,0,1
24,VT19048.dkik,2,0,0,0,0
25,VT19048.MEMB002C,1,0,0,0,0
26,VT19048.MEMB002D,1,0,0,0,0
27,VT19048.MEMB002E,0,0,0,0,0
28,VT19048.MEMB002F,1,0,0,0,0
29,VT19048.MEMB003A,1,0,0,0,0
30,VT19048.MEMB003B,2,0,0,0,0
31,VT19048.MEMB004E,1,0,0,0,0
32,VT19048.MEMB006A,0,0,0,0,0
33,VT19048.MEMB006B,0,0,0,0,0
34,VT19048.MEMB007B,1,0,0,0,0
35,VT19048.MEMB008C,0,0,0,0,0
36,VT19048.MEMB002A,0,0,0,0,0
37,VT19048.MEMB002B,3,0,0,0,0
38,VT19048.MEMB003C,0,0,0,0,0
39,VT19048.MEMB003D,2,0,0,0,0
40,VT19048.MEMB003F,1,0,0,0,0
41,VT19048.MEMB004A,3,0,0,0,0
42,VT19048.MEMB004B,1,0,0,0,0
43,VT19048.MEMB005B,1,0,0,0,0
44,VT19048.MEMB005D,0,1,0,1,0
45,VT19048.MEMB006C,3,0,0,0,0
46,VT19048.MEMB007C,0,0,0,0,0
47,VT19048.MEMB007D,2,0,0,0,0
48,VT28277.MEMB002A,1,0,0,0,0
49,VT28277.MEMB002C,0,0,0,0,0
50,VT28277.MEMB002D,0,0,0,0,0
51,VT28277.MEMB002E,0,0,0,0,0
52,VT28277.MEMB003B,1,0,0,3,0
53,VT28277.MEMB003D,0,0,0,0,0
54,VT28277.MEMB004A,0,0,0,0,0
55,VT28277.MEMB004E,0,0,0,0,0
56,VT28277.MEMB007B,0,0,0,0,0
57,VT28277.MEMB007C,0,0,0,0,0
58,VT28277.dkik,0,0,0,0,0
59,VT28277.MEMB002B,0,0,0,0,0
60,VT28277.MEMB002F,0,0,0,0,0
61,VT28277.MEMB003A,0,0,0,0,0
62,VT28277.MEMB003C,0,0,0,0,0
63,VT28277.MEMB003F,1,0,0,0,0
64,VT28277.MEMB004B,0,0,0,0,0
65,VT28277.MEMB005B,0,0,0,0,0
66,VT28277.MEMB005D,0,0,0,1,0
67,VT28277.MEMB006A,0,0,0,0,0
68,VT28277.MEMB006B,0,0,0,0,0
69,VT28277.MEMB006C,0,0,0,0,0
70,VT28277.MEMB007D,0,0,0,0,0
71,VT28277.MEMB008C,0,0,0,0,0
72,VT39048.MEMB002A,1,0,0,0,0
73,VT39048.MEMB002D,0,0,0,0,0
74,VT39048.MEMB002F,0,0,0,0,0
75,VT39048.MEMB003B,0,0,0,0,0
76,VT39048.MEMB004E,0,0,0,0,0
